Name,Mammals,Birds,Reptiles,Amphibians,Fishes,Molluscs,Other,Plants,Fungi,Chromists,Total
Antarctica,2,5,0,0,1,0,0,0,0,0,8
Bouvet Island,1,1,0,0,0,0,0,0,0,0,2
French Southern Territories,3,13,7,0,9,0,0,2,0,0,34
Heard Island and McDonald Islands,1,10,0,0,2,0,0,0,0,0,13
South Georgia and the South Sandwich Islands,3,6,0,0,0,0,0,0,0,0,9
Anguilla,1,0,8,0,49,0,10,3,0,0,71
Antigua and Barbuda,2,3,8,0,49,0,11,2,0,0,75
Aruba,2,2,2,0,50,1,1,5,0,0,63
Bahamas,5,9,13,0,60,1,12,26,0,0,126
Barbados,3,3,7,0,48,0,11,4,0,0,76
Bermuda,4,3,4,0,35,2,28,8,0,0,84
"Bonaire, Sint Eustatius and Saba",3,2,7,0,52,0,11,5,0,0,80
Cayman Islands,1,2,10,0,44,2,12,23,0,0,94
Cuba,10,18,39,49,66,0,23,191,0,0,396
Curaçao,3,2,5,0,48,0,11,4,0,0,73
Dominica,3,6,3,2,50,0,11,15,0,0,90
Dominican Republic,6,17,59,32,47,0,19,80,0,0,260
Grenada,3,2,7,1,49,0,10,6,0,0,78
Guadeloupe,4,4,10,3,48,1,15,12,0,0,97
Haiti,3,17,66,49,61,0,14,209,0,0,419
Jamaica,7,10,29,20,48,0,15,214,0,0,343
Martinique,1,5,9,2,45,2,0,12,0,0,76
Montserrat,2,3,4,1,46,0,11,7,0,0,74
Puerto Rico,2,11,16,14,50,0,0,70,0,0,163
Saint Barthélemy,1,0,4,0,34,0,11,2,0,0,52
Saint Kitts and Nevis,2,2,6,1,47,0,10,4,0,0,72
Saint Lucia,2,7,9,0,47,0,11,11,0,0,87
Saint Martin (French part),2,1,7,0,45,0,10,2,0,0,67
Saint Vincent and the Grenadines,2,4,8,1,48,0,10,7,0,0,80
Sint Maarten (Dutch part),2,1,7,0,45,0,10,1,0,0,66
Trinidad and Tobago,3,5,7,4,62,0,10,50,0,0,141
Turks and Caicos Islands,2,3,8,0,46,0,10,10,0,0,79
"Virgin Islands, British",1,2,15,2,48,0,10,24,0,0,102
"Virgin Islands, U.S.",1,3,14,3,47,0,0,21,0,0,89
China,77,96,52,133,208,15,70,674,8,0,1333
Hong Kong,5,21,7,5,32,1,9,14,0,0,94
Japan,29,50,25,44,164,54,145,57,13,0,581
"Korea, Democratic People's Republic of",10,29,2,1,50,0,4,19,2,0,117
"Korea, Republic of",12,33,3,5,68,0,8,37,3,0,169
Macao,0,4,1,0,20,0,1,0,0,0,26
Mongolia,11,24,0,0,2,0,2,0,4,0,43
"Taiwan, Province of China",12,24,12,8,143,1,129,88,2,0,419
Åland Islands,0,0,0,0,0,0,0,1,0,0,1
Albania,4,8,5,1,59,52,20,5,0,0,154
Andorra,2,3,1,0,0,3,4,1,0,0,14
Austria,5,13,1,0,11,43,31,38,50,0,192
Belgium,3,8,0,0,19,6,10,3,23,0,72
Bosnia and Herzegovina,5,7,3,1,50,19,24,5,1,0,115
Bulgaria,10,17,2,0,20,32,24,13,9,0,127
Croatia,10,15,4,2,78,50,31,11,26,0,227
Czechia,4,9,0,0,2,6,23,31,33,0,108
Denmark,2,9,0,0,26,5,13,2,30,0,87
Estonia,1,9,0,0,4,4,5,2,28,0,53
Faroe Islands,4,6,0,0,20,0,0,1,4,0,35
Finland,2,11,0,0,5,3,8,4,30,0,63
France,13,17,5,3,74,93,68,65,59,0,397
Germany,7,11,0,0,30,31,31,51,53,0,214
Gibraltar,4,7,0,1,35,4,2,1,0,0,54
Greece,12,18,10,4,97,179,131,77,9,0,537
Greenland,9,6,0,0,12,0,0,1,2,0,30
Guernsey,0,0,0,0,13,0,0,0,0,0,13
Holy See (Vatican City State),2,0,0,0,0,0,0,0,0,0,2
Hungary,6,13,1,0,10,8,26,45,20,0,129
Iceland,6,7,0,0,20,0,0,0,6,0,39
Ireland,4,9,1,0,41,4,2,8,20,0,89
Isle of Man,0,0,0,0,7,0,0,1,0,0,8
Italy,9,18,4,9,73,85,140,121,47,0,506
